"x","y","Ind"
3630500,2383500,23
3629500,2384500,25
3630500,2384500,18
3631500,2384500,11.5
3644500,2384500,5
3645500,2384500,9
3646500,2384500,16
3648500,2384500,67
3629500,2385500,8
3630500,2385500,11
3631500,2385500,9
3632500,2385500,8
3633500,2385500,2
3644500,2385500,8
3645500,2385500,17
3646500,2385500,18
3647500,2385500,7
3648500,2385500,2
3626500,2386500,31
3627500,2386500,8
3628500,2386500,8
3629500,2386500,11
3630500,2386500,13
3631500,2386500,4
3632500,2386500,15
3633500,2386500,12.5
3634500,2386500,6
3635500,2386500,17
3643500,2386500,14
3644500,2386500,7
3645500,2386500,15
3646500,2386500,10
3647500,2386500,12
3648500,2386500,8
3649500,2386500,21
3624500,2387500,22
3625500,2387500,15
3626500,2387500,18.5
3627500,2387500,8
3628500,2387500,10
3629500,2387500,20.5
3630500,2387500,16
3631500,2387500,17
3632500,2387500,10
3633500,2387500,6
3634500,2387500,17
3635500,2387500,15
3636500,2387500,14
3637500,2387500,3
3643500,2387500,2
3644500,2387500,15
3645500,2387500,36
3646500,2387500,14
3647500,2387500,2
3648500,2387500,10
3649500,2387500,9
3624500,2388500,14
3625500,2388500,6
3626500,2388500,12
3627500,2388500,4
3628500,2388500,13
3629500,2388500,18
3630500,2388500,12
3631500,2388500,35
3632500,2388500,2
3633500,2388500,34
3634500,2388500,12
3635500,2388500,6
3636500,2388500,17
3637500,2388500,17
3638500,2388500,22
3643500,2388500,8
3644500,2388500,6
3645500,2388500,45
3646500,2388500,18
3647500,2388500,7
3648500,2388500,11
3652500,2388500,19
3653500,2388500,4
3654500,2388500,21
3625500,2389500,6
3626500,2389500,8
3627500,2389500,9.5
3628500,2389500,13
3629500,2389500,8
3630500,2389500,9
3631500,2389500,39
3632500,2389500,41.5
3633500,2389500,18
3634500,2389500,35
3635500,2389500,38
3636500,2389500,32
3637500,2389500,18
3638500,2389500,3
3639500,2389500,13
3641500,2389500,6
3642500,2389500,30
3643500,2389500,8
3644500,2389500,8
3645500,2389500,37
3646500,2389500,24
3648500,2389500,13
3651500,2389500,12
3652500,2389500,7
3653500,2389500,20
3655500,2389500,4
3625500,2390500,15
3626500,2390500,6
3627500,2390500,33
3628500,2390500,21
3629500,2390500,21
3630500,2390500,250.5
3631500,2390500,80.5
3632500,2390500,15
3633500,2390500,5
3634500,2390500,15
3635500,2390500,2
3636500,2390500,5
3637500,2390500,9
3638500,2390500,22
3639500,2390500,11
3640500,2390500,19
3642500,2390500,26.5
3643500,2390500,14
3644500,2390500,10
3645500,2390500,7
3646500,2390500,13
3647500,2390500,7
3648500,2390500,8
3651500,2390500,18
3652500,2390500,15
3653500,2390500,6
3622500,2391500,22
3626500,2391500,7
3627500,2391500,11
3628500,2391500,9
3629500,2391500,105
3630500,2391500,332.5
3631500,2391500,106.5
3632500,2391500,11
3633500,2391500,11
3634500,2391500,42
3635500,2391500,21
3636500,2391500,22.5
3638500,2391500,32
3639500,2391500,36
3640500,2391500,33
3641500,2391500,10
3642500,2391500,17
3643500,2391500,14
3644500,2391500,110
3645500,2391500,21
3646500,2391500,15
3647500,2391500,4
3648500,2391500,3
3652500,2391500,9
3653500,2391500,5
3665500,2391500,12
3619500,2392500,15
3620500,2392500,20
3621500,2392500,13
3622500,2392500,5
3623500,2392500,22
3624500,2392500,6
3626500,2392500,5
3627500,2392500,6
3628500,2392500,12
3629500,2392500,10
3630500,2392500,22
3631500,2392500,27
3632500,2392500,8.5
3633500,2392500,10
3634500,2392500,53
3635500,2392500,10.5
3636500,2392500,11
3637500,2392500,15
3638500,2392500,18
3639500,2392500,108
3640500,2392500,51
3641500,2392500,36
3642500,2392500,18
3643500,2392500,79
3644500,2392500,52
3645500,2392500,24
3646500,2392500,3
3647500,2392500,11
3648500,2392500,3
3649500,2392500,10
3651500,2392500,12
3652500,2392500,26
3653500,2392500,4
3660500,2392500,10
3663500,2392500,46
3664500,2392500,4
3665500,2392500,20
3668500,2392500,3
3669500,2392500,17
3618500,2393500,3
3619500,2393500,4
3620500,2393500,13
3621500,2393500,21
3622500,2393500,6
3623500,2393500,3
3624500,2393500,6
3625500,2393500,2
3626500,2393500,4
3627500,2393500,10
3628500,2393500,2
3629500,2393500,11
3630500,2393500,1
3631500,2393500,9
3632500,2393500,9
3633500,2393500,5
3634500,2393500,11
3635500,2393500,1
3636500,2393500,12
3637500,2393500,6
3638500,2393500,52
3639500,2393500,30
3640500,2393500,104
3641500,2393500,60
3642500,2393500,5
3643500,2393500,4
3644500,2393500,30
3645500,2393500,53
3646500,2393500,32
3647500,2393500,18
3648500,2393500,19
3649500,2393500,17
3650500,2393500,31
3651500,2393500,10
3653500,2393500,25
3654500,2393500,1
